N,Dynamic value,Greedy value
10,450,450
10,468,468
10,471,471
10,468,468
10,467,467
10,360,360
10,583,583
10,567,567
10,430,430
10,501,501
50,2534,2534
50,2614,2614
50,2179,2179
50,2446,2446
50,2691,2691
50,2749,2749
50,2632,2632
50,2866,2866
50,2597,2597
50,2758,2758
100,5380,5380
100,4916,4916
100,5047,5047
100,4780,4780
100,5113,5113
100,4687,4687
100,5237,5237
100,4818,4818
100,5031,5031
100,5413,5413
500,18206,18205
500,17223,17223
500,18710,18710
500,18248,18246
500,18564,18561
500,17625,17624
500,18045,18044
500,17062,17062
500,18171,18165
500,19529,19526
1000,24747,24746
1000,27080,27077
1000,25787,25787
1000,25096,25092
1000,26741,26737
1000,25808,25806
1000,26908,26904
1000,25970,25966
1000,24387,24383
1000,24684,24682
5000,57255,57255
5000,57044,57041
5000,56996,56991
5000,55965,55965
5000,55637,55634
5000,57438,57435
5000,56278,56275
5000,57445,57442
5000,56732,56731
5000,56261,56261
10000,78262,78262
10000,81720,81720
10000,80365,80363
10000,78393,78393
10000,77676,77676
10000,80327,80327
10000,79727,79727
10000,78553,78552
10000,79335,79334
10000,79823,79819
